GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US12065,12065,"Jefferson County, Florida",131700,24454
0500000US12067,12067,"Lafayette County, Florida",101400,31087
0500000US12069,12069,"Lake County, Florida",155100,1968
0500000US12071,12071,"Lee County, Florida",190200,2576
0500000US12073,12073,"Leon County, Florida",187400,2648
0500000US12075,12075,"Levy County, Florida",88700,4972
0500000US12077,12077,"Liberty County, Florida",62400,6679
0500000US12079,12079,"Madison County, Florida",87200,6784
0500000US12081,12081,"Manatee County, Florida",197200,4007
0500000US12083,12083,"Marion County, Florida",119200,2694
0500000US12085,12085,"Martin County, Florida",233000,7309
0500000US12086,12086,"Miami-Dade County, Florida",242800,1689
0500000US12087,12087,"Monroe County, Florida",429000,15985
0500000US12089,12089,"Nassau County, Florida",203500,7382
0500000US12091,12091,"Okaloosa County, Florida",198700,3718
0500000US12093,12093,"Okeechobee County, Florida",89900,6478
0500000US12095,12095,"Orange County, Florida",192400,2780
0500000US12097,12097,"Osceola County, Florida",164500,2740
0500000US12099,12099,"Palm Beach County, Florida",242500,1875
0500000US12101,12101,"Pasco County, Florida",134300,2328
0500000US12103,12103,"Pinellas County, Florida",167100,1348
0500000US12105,12105,"Polk County, Florida",121100,1726
0500000US12107,12107,"Putnam County, Florida",82800,2763
0500000US12109,12109,"St. Johns County, Florida",274600,3934
0500000US12111,12111,"St. Lucie County, Florida",150700,3489
0500000US12113,12113,"Santa Rosa County, Florida",170500,3014
0500000US12115,12115,"Sarasota County, Florida",215300,3276
0500000US12117,12117,"Seminole County, Florida",201900,3707
0500000US12119,12119,"Sumter County, Florida",239800,5493
0500000US12121,12121,"Suwannee County, Florida",92400,12385
0500000US12123,12123,"Taylor County, Florida",84900,5948
0500000US12125,12125,"Union County, Florida",89000,12968
0500000US12127,12127,"Volusia County, Florida",149900,2119
0500000US12129,12129,"Wakulla County, Florida",133700,8132
0500000US12131,12131,"Walton County, Florida",203100,12256
0500000US12133,12133,"Washington County, Florida",102700,7297
